"","Year","Country","Populations","Emissions_Yearly_Total","Emissions_Capita","LAT","LONG","Global_Pop"
"1","X1960","New Zealand",2372000,11542.66667,4.86621697582912,-42,174,20883850512
"2","X1960","Sri Lanka",10020405,2258.666667,0.225406724245843,7,81,20883850512
"3","X1960","Cameroon",5409083,271.3333333,0.050162538332899,6,12,20883850512
"4","X1960","Solomon Islands",126363,11,0.087050798097544,-8,159,20883850512
"5","X1960","Nicaragua",1772895,531.6666667,0.299886156070532,13,-85,20883850512
"6","X1960","Lebanon",1907573,2548.333333,1.33590344030521,33.833333,35.833333,20883850512
"7","X1960","Honduras",1999530,616,0.308072397013298,15,-86.5,20883850512
"8","X1960","Ireland",2828866,11179.66667,3.95199584097185,53,-8,20883850512
"9","X1960","Niger",3249965,29.33333333,0.009025738225899,16,8,20883850512
"10","X1960","Japan",92500572,232760,2.51630876401499,36,138,20883850512
"11","X1960","Tanzania",10074485,795.6666667,0.082253997764319,-6,35,20883850512
"12","X1960","Ghana",6742107,1463,0.216994479618908,8,-2,20883850512
"13","X1960","Guyana",560184,660,1.17818431086929,5,-59,20883850512
"14","X1960","Albania",1610565,2024,1.2567018406584,41,20,20883850512
"15","X1960","United Arab Emirates",89871,11,0.122397658866598,24,54,20883850512
"16","X1960","Mauritius",659351,179.6666667,0.272490170890264,-20.3,57.583333,20883850512
"17","X1960","Turkey",28160579,16819,0.597253344826468,39.059012,34.911546,20883850512
"18","X1960","Togo",1577708,66,0.041832835987394,8,1.166667,20883850512
"19","X1960","Spain",30413044,48924.33333,1.60866282682303,40,-4,20883850512
"20","X1960","Canada",17909009,192877.6667,10.7698682080436,60,-96,20883850512
"21","X1960","Sierra Leone",2187240,715,0.326895996781332,8.5,-11.5,20883850512
"22","X1960","Comoros",193052,11,0.056979466672192,-12.166667,44.25,20883850512
"23","X1960","Papua New Guinea",1966961,179.6666667,0.091342261827594,-6,147,20883850512
"24","X1960","Italy",49519312,109347.3333,2.20817553631063,42.833333,12.833333,20883850512
"25","X1960","Denmark",4579770,29777,6.50185489664328,56,10,20883850512
"26","X1960","Iceland",175998,1213.666667,6.89591169596624,65,-18,20883850512
"27","X1960","United States",186326215,2890433.333,15.5127572002326,39.828175,-98.5795,20883850512
"28","X1960","Mongolia",957044,1294.333333,1.35242824084716,46,105,20883850512
"29","X1960","Cayman Islands",8092,11,1.35936727632229,19.5,-80.666667,20883850512
"30","X1960","Haiti",3867502,286,0.073949541590412,19,-72.416667,20883850512
"31","X1960","Tonga",61601,11,0.17856852973166,-20,-175,20883850512
"32","X1960","Peru",9929439,8173,0.823107931878125,-10,-76,20883850512
"33","X1960","Saudi Arabia",4041422,2676.666667,0.662308134776984,25,45,20883850512
"34","X1960","Uruguay",2538095,4319.333333,1.70180128534721,-33,-56,20883850512
"35","X1960","Libya",1349004,693,0.51371233888113,25,17,20883850512
"36","X1960","Belgium",9152271,90992,9.94201329921284,50.833333,4,20883850512
"37","X1960","Mexico",38418829,63110.66667,1.6427014646039,23,-102,20883850512
"38","X1960","Djibouti",84877,40.33333333,0.475197442573764,11.5,42.5,20883850512
"39","X1960","Thailand",27312399,3714.333333,0.135994400687151,15,100,20883850512
"40","X1960","Nigeria",45926253,3406.333333,0.074169633070944,10,8,20883850512
"41","X1960","Jamaica",1629025,1470.333333,0.902584879503588,18.25,-77.5,20883850512
